Car Make,Country,Car Group
Acura,Japan,Honda
Alfa Romeo,Italy,FCA
Alpine,France,Renault Group
Ariel,England,Ariel Motor Car Company
Aston Martin,England,Premier Automotive Group
Audi,Germany,Volkswagen Group
BMW,Germany,BMW Group
Bentley,England,Volkswagen Group
Bugatti,France,Volkswagen Group
Chevrolet,America,General Motors
Dodge,America,FCA
Ferrari,Italy,Public
Ford,America,Ford Motor Company
Jaguar,England,Tata Motors
Kia,South Korea,Hyundai Motor Group
Koenigsegg,Sweden,Koenigsegg Automotive
Lamborghini,Italy,Volkswagen Group
Lexus,Japan,Toyota Motor Corporation
Lotus,England,Geely
Maserati,Itlay,Stellantis
Mazda,Japan,Mazda Motor Corporation
McLaren,England,Mumtalakat Holding Company
Mercedes-AMG,Germany,Mercedes-Benz AG
Mercedes-Benz,Germany,Daimler AG
Nissan,Japan,Renault Group
Pagani,Itlay,Pagani Automobili S.p.A.
Pininfarina,Itlay,Pininfarina
Polestar,Sweden,Volvo Cars
Porsche,Germany,Volkswagen Group
Rimac,Croatia,Bugatti Rimac joint company
Rolls-Royce,England,BMW Group
Shelby,America,"Carroll Shelby International, Inc"
Subaru,Japan,The Subaru Corporation
TVR,England,TVR
Tesla,America,Tesla
Toyota,Japan,Toyota Motor Corporation
Ultima,England,the Subaru Corporation
W Motors,Dubai,W Motors
